City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Adrar,MR,20.5022,-10.0711,89.58,19,2,12.17,clear sky
79,Vwawa,TZ,-9.1167,32.9333,50.09,97,25,6.4,scattered clouds
80,Clyde River,CA,70.4692,-68.5914,43.03,70,100,2.3,overcast clouds
81,Lebu,CL,-37.6167,-73.65,52.39,90,33,0.85,scattered clouds
82,Prainha,BR,-1.8,-53.48,72.82,96,100,2.98,overcast clouds
83,Dromolaxia,CY,34.8761,33.586,72.72,94,20,3.44,few clouds
84,Linhares,BR,-19.3911,-40.0722,64.6,87,9,4.72,clear sky
85,Lokosovo,RU,61.1333,74.8167,48.87,54,3,5.14,clear sky
86,Chapais,CA,49.7834,-74.8492,56.98,97,100,12.39,overcast clouds
87,Mtsamboro,YT,-12.6998,45.0689,78.12,70,1,12.93,clear sky
88,Ornskoldsvik,SE,63.2909,18.7153,49.91,73,100,1.95,overcast clouds
89,Debica,PL,50.0515,21.4114,63.5,97,85,7.05,overcast clouds
90,Angoche,MZ,-16.2325,39.9086,66.78,90,2,11.18,clear sky
91,Salalah,OM,17.0151,54.0924,81.05,76,99,4.38,overcast clouds
92,Rawson,AR,-43.3002,-65.1023,49.87,56,0,13.18,clear sky
93,Ribeira Grande,PT,38.5167,-28.7,65.43,94,65,11.3,broken clouds
94,Eshowe,ZA,-28.8865,31.4699,53.04,67,3,4.88,clear sky
95,Hearst,CA,49.6835,-83.6665,64.65,77,37,3.42,scattered clouds
96,Ayagoz,KZ,47.9714,80.4392,65.16,37,0,5.93,clear sky
97,Dingle,PH,10.9995,122.6711,84.58,70,22,2.86,few clouds
98,Birin,NP,26.8865,88.0718,66.45,86,89,1.86,overcast clouds
99,Salihorsk,BY,52.7876,27.5415,62.71,74,100,5.55,overcast clouds
100,Yozgat,TR,39.5833,35.3333,56.73,93,100,0.81,overcast clouds
101,Saint-Joseph,RE,-21.3667,55.6167,66.58,82,32,7.94,light rain
102,Touros,BR,-5.1989,-35.4608,75.7,82,100,9.6,overcast clouds
103,Vardo,NO,70.3705,31.1107,42.78,87,75,11.5,broken clouds
104,Margate,GB,51.3813,1.3862,58.3,90,100,1.01,overcast clouds
105,Atasu,KZ,48.6814,71.6433,71.67,25,97,11.97,overcast clouds
106,Riyadh,SA,24.6877,46.7219,86.14,9,1,6.6,clear sky
107,Cidreira,BR,-30.1811,-50.2056,61.88,84,0,7.4,clear sky
108,Gerash,IR,27.6652,54.1371,77.14,22,0,0.89,clear sky
109,Mahebourg,MU,-20.4081,57.7,71.26,94,40,3.44,scattered clouds
110,Skibbereen,IE,51.55,-9.2667,57.11,94,43,20.33,scattered clouds
111,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.06,85,29,0.85,scattered clouds
112,Torbay,CA,47.6666,-52.7314,38.53,72,20,17.27,few clouds
113,Port-Gentil,GA,-0.7193,8.7815,76.23,88,100,7.92,overcast clouds
114,Canelones,UY,-34.6444,-56.2886,50.81,91,18,6.04,few clouds
115,Rocha,UY,-34.4833,-54.3333,51.24,94,100,6.2,overcast clouds
116,Mazyr,BY,52.0495,29.2456,64.18,66,100,4.38,overcast clouds
117,Gat,IL,31.61,34.7642,75.4,85,0,2.95,clear sky
118,Mehamn,NO,71.0357,27.8492,40.91,81,100,15.59,overcast clouds
119,Bulungu,CD,-4.55,18.6,67.28,55,17,2.82,few clouds
120,Rio Grande,BR,-32.035,-52.0986,57.31,88,0,7.31,clear sky
121,Sao Filipe,CV,14.8961,-24.4956,73.87,79,0,4.9,clear sky
122,Aquiraz,BR,-3.9014,-38.3911,77.18,86,99,5.12,overcast clouds
123,Timra,SE,62.487,17.3257,46.08,93,100,3.44,overcast clouds
124,Indiaroba,BR,-11.5192,-37.5117,70.5,79,5,2.53,clear sky
125,Nioro,GM,13.35,-15.75,79.79,71,100,6.6,moderate rain
126,Grand Gaube,MU,-20.0064,57.6608,71.38,78,4,3.0,clear sky
127,Hamilton,US,39.1834,-84.5333,75.04,91,0,3.4,clear sky
128,Ust-Tsilma,RU,65.441,52.1498,58.03,64,21,3.29,few clouds
129,Maniitsoq,GL,65.4167,-52.9,39.24,72,10,5.86,clear sky
130,Turayf,SA,31.6725,38.6637,71.85,53,0,6.91,clear sky
131,Sarandi,BR,-23.4436,-51.8739,63.95,94,40,4.61,scattered clouds
132,Inhambane,MZ,-23.865,35.3833,66.88,72,42,9.4,scattered clouds
133,Marawi,PH,7.9986,124.2928,78.06,70,71,1.95,broken clouds
134,Zhezkazgan,KZ,47.8043,67.7144,69.78,26,20,15.66,few clouds
135,Gari,RU,59.4307,62.3497,48.42,94,100,17.38,overcast clouds
136,Dutse,NG,11.7594,9.3392,85.17,30,48,7.96,scattered clouds
137,Saint George,US,37.1041,-113.5841,100.99,11,0,16.11,clear sky
138,Allapalli,IN,19.4167,80.0667,92.28,36,96,5.7,overcast clouds
139,Qaqortoq,GL,60.7167,-46.0333,40.37,83,91,4.81,overcast clouds
140,Sakakah,SA,29.9697,40.2064,80.17,21,0,4.29,clear sky
141,Odienne,CI,9.51,-7.5692,73.54,79,17,2.46,few clouds
142,Nantucket,US,41.2835,-70.0995,66.31,86,100,18.52,overcast clouds
143,Contamana,PE,-7.3333,-75.0167,75.72,86,42,1.86,scattered clouds
144,Scarborough,GB,54.2797,-0.4044,50.92,91,100,1.99,overcast clouds
145,Forio,IT,40.7342,13.8646,73.69,81,6,1.01,clear sky
146,Hofn,IS,64.2539,-15.2082,49.24,82,100,4.43,overcast clouds
147,Constanza,DE,47.6603,9.1758,57.16,94,0,1.99,clear sky
148,Cockburn Town,TC,21.4612,-71.1419,80.17,87,99,17.98,overcast clouds
149,Itaituba,BR,-4.2761,-55.9836,76.23,84,100,1.21,overcast clouds
150,Yarada,IN,17.65,83.2667,84.52,94,75,4.61,mist
151,Moskovskiy,RU,55.5991,37.355,56.79,69,0,2.24,clear sky
152,Tshela,CD,-4.9833,12.9333,68.07,100,94,0.4,overcast clouds
153,Lerum,SE,57.7745,12.2697,54.93,72,75,10.36,light rain
154,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.65,75,95,7.45,overcast clouds
155,Taltal,CL,-25.4,-70.4833,58.96,84,38,1.39,scattered clouds
156,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,83,0,9.22,clear sky
157,Santa Rosa,PH,14.3122,121.1114,87.1,73,100,0.72,overcast clouds
158,Mandera,KE,3.9366,41.867,76.41,66,79,11.32,broken clouds
159,Faya,SA,18.3851,42.4509,66.31,15,67,4.76,broken clouds
160,Castro,BR,-24.7911,-50.0119,58.6,97,100,1.54,overcast clouds
161,Khorixas,NA,-20.3667,14.9667,57.9,34,0,11.63,clear sky
162,San Joaquin,US,37.9333,-121.3011,91.47,22,0,16.11,clear sky
163,Santa Ana,US,33.7456,-117.8678,91.08,67,20,12.66,few clouds
164,Requena,ES,39.4883,-1.1004,63.79,72,100,2.46,overcast clouds
165,Chortomlyk,UA,47.6232,34.142,66.04,67,92,9.44,overcast clouds
166,Mahanoro,MG,-19.9,48.8,67.82,90,13,6.11,light rain
167,Agadir,MA,30.4202,-9.5982,66.65,76,37,5.41,scattered clouds
168,Srivardhan,IN,18.0333,73.0167,82.33,80,80,3.87,broken clouds
169,Mana,GF,5.6592,-53.7767,77.07,89,100,11.12,overcast clouds
170,Dudinka,RU,69.4058,86.1778,34.63,70,10,10.54,clear sky
