City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Klaksvik,FO,2022-06-05 17:56:41,62.2266,-6.589,50.92,85,96,11.14
1,Avanigadda,IN,2022-06-05 17:56:42,16.0215,80.9181,84.27,58,72,10.09
2,Hun,LY,2022-06-05 17:56:42,29.1268,15.9477,90.45,20,0,11.41
3,Beloha,MG,2022-06-05 17:56:43,-25.1667,45.05,67.51,83,90,5.06
4,Chodavaram,IN,2022-06-05 17:56:43,17.8333,82.95,85.84,69,95,6.53
5,Matara,LK,2022-06-05 17:56:43,5.9485,80.5353,77.56,91,86,10.65
6,Cape Town,ZA,2022-06-05 17:56:44,-33.9258,18.4232,66.38,64,0,4.0
7,Rocha,UY,2022-06-05 17:53:26,-34.4833,-54.3333,63.66,71,100,3.49
8,Geraldton,AU,2022-06-05 17:56:45,-28.7667,114.6,48.61,71,26,4.61
9,Buta,CD,2022-06-05 17:56:45,2.7858,24.73,69.4,98,93,2.35
10,Ushuaia,AR,2022-06-05 17:55:26,-54.8,-68.3,42.46,65,75,9.22
11,Harper,LR,2022-06-05 17:56:46,4.375,-7.7169,80.29,79,89,8.43
12,Busselton,AU,2022-06-05 17:56:46,-33.65,115.3333,55.26,73,100,8.55
13,Bubaque,GW,2022-06-05 17:56:46,11.2833,-15.8333,80.51,80,95,14.74
14,Vestmanna,FO,2022-06-05 17:56:47,62.1564,-7.1664,49.12,93,100,17.27
15,Altoona,US,2022-06-05 17:56:47,40.5187,-78.3947,75.38,39,100,1.99
16,Itambe,BR,2022-06-05 17:56:47,-15.245,-40.6244,78.98,38,34,10.27
17,Lebu,CL,2022-06-05 17:56:48,-37.6167,-73.65,53.65,94,100,18.9
18,Saint George,US,2022-06-05 17:55:32,37.1041,-113.5841,91.8,18,0,3.0
19,Victoria,HK,2022-06-05 17:55:02,22.2855,114.1577,85.17,82,100,11.01
20,Massena,US,2022-06-05 17:55:39,44.9281,-74.8919,71.11,44,5,9.8
21,Grindavik,IS,2022-06-05 17:56:49,63.8424,-22.4338,49.95,100,100,6.91
22,Ndioum,SN,2022-06-05 17:56:49,16.5129,-14.6471,111.09,14,36,6.11
23,Georgetown,MY,2022-06-05 17:56:49,5.4112,100.3354,81.95,89,40,5.01
24,Saint-Francois,FR,2022-06-05 17:51:52,46.4154,3.9054,73.67,56,20,12.66
25,Mwinilunga,ZM,2022-06-05 17:56:50,-11.7358,24.4293,55.81,52,19,5.57
26,Punta Arenas,CL,2022-06-05 17:56:50,-53.15,-70.9167,46.51,46,0,13.8
27,Jamestown,US,2022-06-05 17:52:38,42.097,-79.2353,73.18,28,0,8.05
28,Hermanus,ZA,2022-06-05 17:56:51,-34.4187,19.2345,60.8,67,35,9.6
29,Tugolesskiy Bor,RU,2022-06-05 17:56:51,55.5505,39.8242,52.5,95,14,4.7
30,Atar,MR,2022-06-05 17:56:52,20.5169,-13.0499,103.35,11,100,17.18
31,Semirom,IR,2022-06-05 17:56:52,31.4167,51.5667,68.23,28,100,4.16
32,Ponta Do Sol,PT,2022-06-05 17:56:53,32.6667,-17.1,70.72,73,91,0.92
33,Arraial Do Cabo,BR,2022-06-05 17:56:53,-22.9661,-42.0278,73.36,49,40,10.36
34,Pitimbu,BR,2022-06-05 17:56:53,-7.4706,-34.8086,82.99,70,16,14.52
35,Itarema,BR,2022-06-05 17:56:54,-2.9248,-39.9167,80.78,80,36,11.23
36,Ilulissat,GL,2022-06-05 17:56:54,69.2167,-51.1,37.98,54,11,9.93
37,Hobyo,SO,2022-06-05 17:56:54,5.3505,48.5268,78.91,81,62,24.49
38,Berlevag,NO,2022-06-05 17:56:55,70.8578,29.0864,44.55,76,100,4.61
39,Platanos,GR,2022-06-05 17:56:55,37.6667,21.6167,81.25,65,8,2.93
40,Tombouctou,ML,2022-06-05 17:56:55,20.0,-3.0,106.77,7,33,5.5
41,Gat,IL,2022-06-05 17:54:03,31.61,34.7642,81.39,100,0,7.83
42,Bathsheba,BB,2022-06-05 17:56:56,13.2167,-59.5167,88.41,66,75,24.16
43,Lima,PE,2022-06-05 17:55:58,-12.0432,-77.0282,67.39,69,75,18.41
44,Beitbridge,ZW,2022-06-05 17:57:56,-22.2167,30.0,66.18,51,2,15.57
45,Moose Factory,CA,2022-06-05 17:57:57,51.2585,-80.6094,53.6,94,100,6.91
46,Alta Floresta,BR,2022-06-05 17:57:57,-9.8756,-56.0861,91.22,46,75,4.61
47,Orangeburg,US,2022-06-05 17:57:58,33.4918,-80.8557,86.95,41,31,8.01
48,Mayumba,GA,2022-06-05 17:57:58,-3.432,10.6554,73.96,87,66,3.78
49,Sinnamary,GF,2022-06-05 17:57:59,5.3833,-52.95,81.21,78,89,6.13
50,Saldanha,ZA,2022-06-05 17:57:59,-33.0117,17.9442,64.45,52,6,6.85
51,Beyla,GN,2022-06-05 17:57:59,8.6833,-8.6333,81.82,62,98,2.33
52,Korsakovo,RU,2022-06-05 17:58:01,53.2677,37.3569,53.92,85,67,6.69
53,Marienburg,PL,2022-06-05 17:58:01,54.0359,19.0266,63.57,84,1,6.82
54,Mar Del Plata,AR,2022-06-05 17:57:16,-38.0023,-57.5575,55.94,75,0,1.99
55,Qaanaaq,GL,2022-06-05 17:58:02,77.484,-69.3632,31.73,66,1,3.0
56,Tirano,IT,2022-06-05 17:58:02,46.2154,10.1679,72.32,66,59,3.24
57,Iqaluit,CA,2022-06-05 17:58:03,63.7506,-68.5145,51.53,50,20,8.05
58,Joniskis,LT,2022-06-05 17:58:03,56.2403,23.6153,67.12,74,57,5.37
59,Coquimbo,CL,2022-06-05 17:58:04,-29.9533,-71.3436,60.53,67,0,4.61
60,Ayapel,CO,2022-06-05 17:58:04,8.3137,-75.1398,88.43,61,49,3.18
61,Cidreira,BR,2022-06-05 17:58:05,-30.1811,-50.2056,64.72,82,99,3.24
62,Valer,NO,2022-06-05 17:58:05,60.6785,11.8331,59.85,58,94,8.39
63,Necochea,AR,2022-06-05 17:58:05,-38.5473,-58.7368,55.04,53,100,4.94
64,Husavik,IS,2022-06-05 17:58:06,66.0449,-17.3389,45.54,65,76,19.06
65,Monrovia,LR,2022-06-05 17:58:06,6.3005,-10.7969,81.3,76,100,7.02
66,Hofn,IS,2022-06-05 17:58:07,64.2539,-15.2082,52.93,73,38,16.37
67,Rundu,NA,2022-06-05 17:58:07,-17.9333,19.7667,58.28,40,27,7.29
68,Caucaia,BR,2022-06-05 17:57:53,-3.7361,-38.6531,80.55,82,75,6.91
69,Noyabrsk,RU,2022-06-05 17:58:08,63.1994,75.4507,36.81,66,80,4.61
70,La Asuncion,VE,2022-06-05 17:58:08,11.0333,-63.8628,82.62,73,43,15.84
71,Tasiilaq,GL,2022-06-05 17:58:08,65.6145,-37.6368,39.54,53,25,5.14
72,Bulungu,CD,2022-06-05 17:58:09,-4.55,18.6,76.35,54,34,2.26
73,Arlit,NE,2022-06-05 17:58:09,18.7369,7.3853,96.28,6,23,0.65
74,Oktyabrskiy,RU,2022-06-05 17:58:09,54.4815,53.471,56.93,79,99,0.81
75,Tambura,SS,2022-06-05 17:58:10,5.6,27.4667,71.2,87,55,4.81
76,Chuy,UY,2022-06-05 17:58:10,-33.6971,-53.4616,64.83,73,94,2.66
77,Belmonte,BR,2022-06-05 17:58:11,-15.8631,-38.8828,76.39,54,89,14.79
78,Souillac,MU,2022-06-05 17:58:11,-20.5167,57.5167,71.98,83,75,12.66
79,Cayenne,GF,2022-06-05 17:58:12,4.9333,-52.3333,82.44,1,0,8.05
