City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Rawson,AR,-43.3002,-65.1023,54.25,54,99,20.83,overcast clouds
301,Karlskoga,SE,59.3267,14.5239,52.92,75,98,8.12,overcast clouds
302,Kasempa,ZM,-13.4584,25.8338,47.05,84,12,6.33,few clouds
303,Mogadishu,SO,2.0371,45.3438,82.27,74,40,16.11,scattered clouds
304,Pocone,BR,-16.2567,-56.6228,72.86,45,80,6.04,broken clouds
305,Boffa,GN,10.1667,-14.0333,77.9,88,100,2.46,overcast clouds
306,Alamor,EC,-4.0181,-80.0197,55.44,86,100,2.93,overcast clouds
307,Maralal,KE,1.0968,36.698,57.76,71,94,0.67,overcast clouds
308,Okitipupa,NG,6.5047,4.7839,71.24,93,100,2.17,overcast clouds
309,Borovskoy,KZ,53.8,64.15,57.99,59,100,10.2,overcast clouds
310,Panjab,AF,34.388,67.0233,60.01,33,0,1.32,clear sky
311,Bela Vista,BR,-22.1089,-56.5211,70.23,62,100,4.9,overcast clouds
312,Rio Bueno,CL,-40.3167,-72.9667,48.34,90,100,8.1,light rain
313,Madison,US,34.7334,-86.5667,73.2,78,0,8.05,clear sky
314,Paamiut,GL,61.994,-49.6678,39.51,80,0,6.29,clear sky
315,Lixourion,GR,38.2019,20.4314,76.87,67,54,4.12,broken clouds
316,Zelenoborskiy,RU,66.845,32.3622,49.21,73,24,7.87,few clouds
317,Adrar,MR,20.5022,-10.0711,86.04,12,99,14.05,overcast clouds
318,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,35,0,11.5,clear sky
319,Prainha,BR,-1.8,-53.48,71.53,99,95,2.64,overcast clouds
320,Acarau,BR,-2.8856,-40.12,74.61,90,80,10.11,broken clouds
321,Maarianhamina,AX,60.0973,19.9348,55.26,67,0,5.75,clear sky
322,Kovur,IN,14.4833,79.9833,96.58,37,98,13.8,overcast clouds
323,Montepuez,MZ,-13.1256,38.9997,62.78,83,64,7.23,broken clouds
324,Tonota,BW,-21.4833,27.4833,53.62,87,67,15.5,broken clouds
325,Charleston,US,32.7766,-79.9309,77.02,76,100,10.36,overcast clouds
326,Ancud,CL,-41.8697,-73.8203,50.79,95,100,28.12,moderate rain
327,Bilma,NE,18.6853,12.9164,85.08,34,98,6.08,overcast clouds
328,Usinsk,RU,65.9939,57.5281,57.99,34,74,7.52,broken clouds
329,Tirumullaivasal,IN,11.2333,79.8333,87.66,58,100,11.27,overcast clouds
330,Ippy,CF,6.2679,21.2247,68.29,95,100,7.9,overcast clouds
331,Baiao,BR,-2.7906,-49.6717,71.49,100,100,1.54,overcast clouds
332,Mindelo,CV,16.8901,-24.9804,72.95,78,40,29.93,scattered clouds
333,Monrovia,LR,6.3005,-10.7969,77.11,86,100,3.09,light rain
334,Bandarbeyla,SO,9.4942,50.8122,82.81,65,60,22.95,broken clouds
335,Sakakah,SA,29.9697,40.2064,87.37,14,48,14.45,scattered clouds
336,Panara,IN,22.0667,78.55,99.91,13,36,15.08,scattered clouds
337,Harlingen,US,26.1906,-97.6961,82.31,92,20,12.66,few clouds
338,Constitucion,CL,-35.3333,-72.4167,51.75,85,13,4.14,few clouds
339,Sukhumi,GE,43.0033,41.0153,71.85,79,81,9.06,broken clouds
340,Harer,ET,9.3094,42.1258,64.04,72,92,7.09,overcast clouds
341,Krasnoarmeysk,RU,51.0239,45.6969,56.21,92,100,14.58,light rain
342,Nizwa,OM,22.9333,57.5333,94.78,20,0,2.55,clear sky
343,Saint-Lo,FR,49.1162,-1.0903,48.63,98,14,7.2,few clouds
344,Bubaque,GW,11.2833,-15.8333,79.72,81,88,11.45,overcast clouds
345,Korba,IN,22.35,82.6833,100.9,27,62,5.64,broken clouds
346,Minchinabad,PK,30.163,73.5685,107.28,11,0,6.29,clear sky
347,Buckingham,GB,51.9997,-0.9878,51.91,73,100,1.01,overcast clouds
348,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,76.41,62,62,8.37,broken clouds
349,Tutin,RS,42.9903,20.3314,65.97,83,92,3.6,overcast clouds
350,Valdivia,CL,-39.8142,-73.2459,48.29,95,100,6.26,heavy intensity rain
351,Raudeberg,NO,61.9875,5.1352,45.27,75,11,10.51,few clouds
352,San Cristobal,VE,7.7669,-72.225,66.38,97,99,2.53,overcast clouds
353,Kotka,FI,60.4664,26.9458,51.06,64,1,8.84,clear sky
354,Gamba,GA,-2.65,10.0,71.38,96,99,1.99,overcast clouds
355,Esna,EG,25.2934,32.554,82.42,22,81,9.69,broken clouds
356,Nogent-Le-Rotrou,FR,48.3333,1.0,47.05,97,61,7.47,broken clouds
357,Maposeni,TZ,-10.5833,35.4,58.6,87,33,3.11,scattered clouds
358,Quchan,IR,37.106,58.5095,74.35,18,0,7.07,clear sky
359,Le Port,RE,-20.9373,55.2919,75.25,55,19,5.86,few clouds
360,Nalut,LY,30.3333,10.85,76.69,33,0,9.53,clear sky
361,Vestmannaeyjar,IS,63.4427,-20.2734,48.33,83,99,4.81,overcast clouds
362,Umm Kaddadah,SD,13.6017,26.6876,84.31,16,88,2.93,overcast clouds
363,Aksu,CN,41.1231,80.2644,82.56,13,100,1.23,overcast clouds
364,Mukhtolovo,RU,55.4644,43.1953,56.77,81,20,7.76,few clouds
365,Nouadhibou,MR,20.931,-17.0347,67.98,77,76,20.71,broken clouds
366,Varzea Da Palma,BR,-17.5981,-44.7308,58.5,76,2,2.44,clear sky
367,Santa Rosa,PH,14.3122,121.1114,93.11,63,82,8.79,broken clouds
368,Sistranda,NO,63.7256,8.834,44.56,71,52,5.55,broken clouds
369,Agadez,NE,19.75,10.25,79.52,15,0,5.64,clear sky
370,Banda Aceh,ID,5.5577,95.3222,86.45,66,69,7.67,broken clouds
